hull_id,source_path,profile_id,total_slot_count,editable_slot_count,fixed_visible_slot_count,hidden_slot_count,locked_slot_count
ship_hull_heavy,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
ship_hull_heavy_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
ship_hull_heavy_2,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
ship_hull_heavy_3,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
ship_hull_heavy_4,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
ship_hull_heavy_modern,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
ship_hull_light,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
ship_hull_light_1,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
ship_hull_light_2,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
ship_hull_light_3,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
ship_hull_light_4,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
ship_hull_mega_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
ship_hull_midget_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,midget_minimal,0,0,0,0,0
ship_hull_nuclear_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_pre_dreadnought,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
ship_hull_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_submarine_1,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_submarine_2,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_submarine_3,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_submarine_4,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_super_heavy_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
ship_hull_torpedo_cruiser,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
submarine_1,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
submarine_2,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
submarine_3,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
submarine_4,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
support_ship_1,bakasekai/common/units/equipment/support_ships.txt,light_small,7,7,0,0,0
support_ship_2,bakasekai/common/units/equipment/support_ships.txt,light_small,7,7,0,0,0
support_ship_hull,bakasekai/common/units/equipment/support_ships.txt,light_small,7,7,0,0,0
torpedo_cruiser,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
