hull_id,source_path,ssw_role_source,profile_id,total_slot_count,editable_slot_count,fixed_visible_slot_count,locked_visible_slot_count,hidden_slot_count,assignment_basis,provisional_displacement_review
destroyer_3,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
destroyer_4,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
fleet_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,medium_18,18,17,1,0,0,large or special-purpose submarine,yes
heavy_cruiser_1,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,large_24,24,23,1,0,0,heavy or specialist cruiser,yes
heavy_cruiser_2,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,large_24,24,23,1,0,0,heavy or specialist cruiser,yes
heavy_cruiser_3,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,large_24,24,23,1,0,0,heavy or specialist cruiser,yes
heavy_cruiser_4,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,large_24,24,23,1,0,0,heavy or specialist cruiser,yes
light_cruiser_1,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
light_cruiser_2,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
light_cruiser_3,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
light_cruiser_4,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
mega_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,maximum_36,36,35,1,0,0,large aviation platform,yes
midget_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,minimal_9,9,8,1,0,0,midget submarine,yes
modern_battleship,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
modern_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,maximum_36,36,35,1,0,0,modern large aviation platform,yes
nuclear_missile_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,medium_18,18,17,1,0,0,large or special-purpose submarine,yes
nuclear_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
repair_ship_1,bakasekai/common/units/equipment/repair_ships.txt,ship_type_slot,medium_18,18,17,1,0,0,support vessel with visible service equipment,yes
repair_ship_2,bakasekai/common/units/equipment/repair_ships.txt,ship_type_slot,medium_18,18,17,1,0,0,support vessel with visible service equipment,yes
repair_ship_hull,bakasekai/common/units/equipment/repair_ships.txt,ship_type_slot,medium_18,18,17,1,0,0,support vessel with visible service equipment,yes
rocket_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
ship_hull_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
ship_hull_carrier_1,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
ship_hull_carrier_2,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
ship_hull_carrier_3,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
ship_hull_carrier_conversion_bb,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
ship_hull_carrier_conversion_ca,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,large_24,24,23,1,0,0,cruiser conversion,yes
ship_hull_carrier_modern,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,maximum_36,36,35,1,0,0,modern large aviation platform,yes
ship_hull_carrier_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,medium_18,18,17,1,0,0,large or special-purpose submarine,yes
ship_hull_cruiser,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
ship_hull_cruiser_1,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
ship_hull_cruiser_2,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
ship_hull_cruiser_3,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
ship_hull_cruiser_4,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
ship_hull_cruiser_coastal_defense_ship,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,large_24,24,23,1,0,0,heavy or specialist cruiser,yes
ship_hull_cruiser_modern_aa,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,large_24,24,23,1,0,0,heavy or specialist cruiser,yes
ship_hull_cruiser_panzerschiff,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,large_24,24,23,1,0,0,heavy or specialist cruiser,yes
ship_hull_cruiser_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,medium_18,18,17,1,0,0,large or special-purpose submarine,yes
ship_hull_escort_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,medium_18,18,17,1,0,0,escort carrier aviation adjustment,yes
ship_hull_fleet_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,medium_18,18,17,1,0,0,large or special-purpose submarine,yes
ship_hull_heavy,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
ship_hull_heavy_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
ship_hull_heavy_2,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
ship_hull_heavy_3,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
ship_hull_heavy_4,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
ship_hull_heavy_modern,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
ship_hull_light,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
ship_hull_light_1,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
ship_hull_light_2,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
ship_hull_light_3,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
ship_hull_light_4,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
ship_hull_mega_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,maximum_36,36,35,1,0,0,large aviation platform,yes
ship_hull_midget_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,minimal_9,9,8,1,0,0,midget submarine,yes
ship_hull_nuclear_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
ship_hull_pre_dreadnought,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,large_24,24,23,1,0,0,pre-dreadnought size band,yes
ship_hull_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,coastal_12,12,11,1,0,0,early/coastal submarine,yes
ship_hull_submarine_1,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,coastal_12,12,11,1,0,0,early/coastal submarine,yes
ship_hull_submarine_2,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
ship_hull_submarine_3,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
ship_hull_submarine_4,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
ship_hull_super_heavy_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,maximum_36,36,35,1,0,0,super-heavy capital hull,yes
ship_hull_torpedo_cruiser,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
submarine_1,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,coastal_12,12,11,1,0,0,early/coastal submarine,yes
submarine_2,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
submarine_3,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
submarine_4,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,escort_15,15,14,1,0,0,ocean-going submarine,yes
support_ship_1,bakasekai/common/units/equipment/support_ships.txt,ship_type_slot,medium_18,18,17,1,0,0,support vessel with visible service equipment,yes
support_ship_2,bakasekai/common/units/equipment/support_ships.txt,ship_type_slot,medium_18,18,17,1,0,0,support vessel with visible service equipment,yes
support_ship_hull,bakasekai/common/units/equipment/support_ships.txt,ship_type_slot,medium_18,18,17,1,0,0,support vessel with visible service equipment,yes
torpedo_cruiser,bakasekai/common/units/equipment/ship_hull_cruiser.txt,ship_type_slot,medium_18,18,17,1,0,0,light or generic cruiser,yes
